voc1,no2,eth,co,tag
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.82,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.82,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.82,background
0.43,0.7,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.82,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.69,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.71,0.23,0.83,background
0.43,0.71,0.23,0.83,background
0.43,0.71,0.23,0.83,background
0.43,0.71,0.23,0.83,background
0.43,0.71,0.23,0.84,background
0.43,0.72,0.23,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.83,background
0.43,0.73,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.75,0.24,0.84,background
0.43,0.76,0.24,0.85,background
0.43,0.76,0.24,0.84,background
0.43,0.77,0.24,0.84,background
0.44,0.76,0.24,0.84,background
0.44,0.76,0.24,0.84,background
0.43,0.76,0.24,0.84,background
0.44,0.76,0.24,0.85,background
0.43,0.75,0.24,0.84,background
0.44,0.75,0.24,0.84,background
0.43,0.74,0.24,0.84,background
0.44,0.74,0.24,0.84,background
0.43,0.73,0.24,0.84,background
0.44,0.73,0.24,0.84,background
0.44,0.73,0.24,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.71,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.44,0.71,0.24,0.84,background
0.43,0.71,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.24,0.83,background
0.43,0.72,0.24,0.84,background
0.43,0.72,0.23,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.84,background
0.43,0.71,0.24,0.83,background
0.43,0.71,0.24,0.83,background
0.43,0.7,0.24,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.23,0.83,background
0.43,0.7,0.24,0.83,background
