voc1,no2,eth,co,tag
1.31,1.18,1.17,0.78,background
1.31,1.19,1.17,0.78,background
1.32,1.19,1.17,0.79,background
1.31,1.18,1.17,0.78,background
1.31,1.17,1.17,0.78,background
1.31,1.17,1.16,0.78,background
1.31,1.17,1.16,0.78,background
1.31,1.16,1.16,0.78,background
1.3,1.16,1.16,0.78,background
1.31,1.16,1.16,0.78,background
1.31,1.16,1.15,0.78,background
1.3,1.15,1.15,0.78,background
1.31,1.15,1.15,0.78,background
1.3,1.15,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.77,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.14,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.15,0.77,background
1.3,1.13,1.14,0.78,background
1.3,1.13,1.14,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.14,0.78,background
1.3,1.14,1.15,0.78,background
1.3,1.14,1.14,0.78,background
1.3,1.14,1.14,0.78,background
1.3,1.14,1.14,0.78,background
1.3,1.14,1.14,0.77,background
1.3,1.14,1.14,0.78,background
1.3,1.13,1.13,0.77,background
1.3,1.13,1.13,0.77,background
1.29,1.13,1.13,0.77,background
1.3,1.12,1.13,0.77,background
1.3,1.12,1.13,0.78,background
1.3,1.12,1.13,0.78,background
1.29,1.12,1.12,0.77,background
1.3,1.12,1.12,0.77,background
1.29,1.12,1.12,0.78,background
1.3,1.12,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.11,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.78,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.13,1.12,0.77,background
1.29,1.12,1.12,0.77,background
1.29,1.12,1.12,0.78,background
1.29,1.13,1.11,0.77,background
1.29,1.12,1.11,0.77,background
1.29,1.12,1.11,0.77,background
1.29,1.12,1.11,0.77,background
1.29,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.29,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.13,1.11,0.77,background
1.29,1.13,1.11,0.77,background
1.28,1.13,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.11,0.77,background
1.28,1.12,1.1,0.77,background
1.28,1.12,1.1,0.77,background
1.28,1.11,1.1,0.77,background
1.28,1.11,1.1,0.77,background
1.28,1.11,1.09,0.77,background
1.28,1.11,1.09,0.77,background
1.28,1.11,1.1,0.77,background
1.27,1.11,1.1,0.77,background
1.27,1.11,1.09,0.77,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.1,0.78,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.1,0.77,background
1.27,1.12,1.09,0.78,background
1.27,1.11,1.1,0.77,background
1.27,1.11,1.09,0.77,background
1.27,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.27,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.1,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.1,1.09,0.77,background
1.26,1.1,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.1,1.09,0.77,background
1.26,1.11,1.09,0.77,background
1.26,1.11,1.09,0.78,background
1.26,1.12,1.09,0.78,background
1.26,1.12,1.09,0.78,background
1.26,1.12,1.09,0.78,background
1.26,1.12,1.09,0.77,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.09,0.78,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.09,0.77,background
1.25,1.13,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.11,0.78,background
1.25,1.13,1.1,0.78,background
1.25,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.77,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.1,0.77,background
1.26,1.13,1.1,0.78,background
1.25,1.13,1.1,0.77,background
1.26,1.13,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.13,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.77,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.77,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.77,background
1.26,1.14,1.1,0.77,background
1.26,1.14,1.1,0.77,background
1.26,1.14,1.1,0.77,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.15,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.27,1.16,1.12,0.78,background
1.27,1.16,1.11,0.78,background
1.26,1.16,1.11,0.78,background
1.26,1.15,1.11,0.78,background
1.27,1.15,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.11,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
1.26,1.14,1.1,0.78,background
